page,key,de,en,fr,it
global,entity.delete.title,Löschen bestätigen,Confirm delete operation,Confirmation de suppression,Conferma operazione di cancellazione
global,entity.detail.field,Feld,Field,Champs,Campo
global,entity.detail.value,Wert,Value,Valeur,Valore
global,entity.validation.datetimelocal,Dieses Feld muss eine Datums- und Zeitangabe enthalten.,This field should be a date and time.,Ce champ doit être une date et une heure.,Questo campo dovrebbe essere data e ora.
global,entity.validation.max,Dieses Feld muss kleiner als {{max}} sein.,This field cannot be more than {{ max }}.,Ce champ doit être inférieur à {{max}}.,Questo campo non può essere superiore a {{ max }}.
global,entity.validation.maxbytes,Dieses Feld sollte nicht mehr als {{max}} bytes haben.,This field cannot be more than {{ max }} bytes.,Ce champ doit être inférieur à {{max}} bytes.,Questo campo non può essere superiore a {{ max }} byte.
global,entity.validation.maxlength,Dieses Feld darf max. {{max}} Zeichen lang sein.,This field cannot be longer than {{ max }} characters.,Ce champ doit faire moins de {{max}} caractères.,Questo campo non può essere più di {{ max }} caratteri.
global,entity.validation.min,Dieses Feld muss größer als {{min}} sein.,This field should be at least {{ min }}.,Ce champ doit être supérieur à {{min}}.,Questo campo dovrebbe essere più di {{ min }}.
global,entity.validation.minbytes,Dieses Feld sollte mehr als {{min}} bytes haben.,This field should be at least {{ min }} bytes.,Ce champ doit être supérieur à {{min}} bytes.,Questo campo dovrebbe essere più di {{ min }} byte.
global,entity.validation.minlength,Dieses Feld muss mind. {{min}} Zeichen lang sein.,This field is required to be at least {{ min }} characters.,Ce champ doit faire au minimum {{min}} caractères.,Questo campo deve essere di almeno {{ min }} caratteri.
global,entity.validation.number,Dieses Feld muss eine Zahl sein.,This field should be a number.,Ce champ doit être un nombre.,Questo campo dovrebbe essere un numero.
global,entity.validation.pattern,Dieses Feld muss das Muster {{pattern}} erfüllen.,This field should follow pattern for {{ pattern }}.,Ce champ doit suivre l'expression régulière {{pattern}}.,Questo campo dovrebbe corrispondere al modello {{ pattern }}.
global,entity.validation.required,Dieses Feld wird benötigt.,This field is required.,Ce champ est obligatoire.,Questo campo è obbligatorio.
global,error.NotNull,Feld {{fieldName}} kann nicht leer sein!,Field {{ fieldName }} cannot be empty!,Le champ {{fieldName}} ne peut pas être vide !,Il campo {{ fieldName }} non può essere vuoto!
global,error.Size,Feld {{fieldName}} erfüllt nicht die minimalen/maximalen Voraussetzungen!,Field {{ fieldName }} does not meet min/max size requirements!,Le champ {{fieldName}} ne respecte pas les critères minimum et maximum !,Il campo {{ fieldName }} non è conforme ai requisiti di lunghezza min/max!
global,error.emailexists,Email wird bereits verwendet!,Email is already in use!,Email déjà utilisé !,L'email è già in uso!
global,error.idexists,Ein neuer {{entityName}} kann noch keine ID haben,A new {{ entityName }} cannot already have an ID,Une nouvelle entité {{entityName}} ne peut pas avoir d'ID !,Un(a) nuovo/a {{entityName}} non può già avere un ID
global,error.internalServerError,Internal server error,Internal server error,Erreur interne du serveur,Internal server error
global,error.server.not.reachable,Server ist nicht erreichbar,Server not reachable,Serveur inaccessible,Server non raggiungibile
global,error.url.not.found,Nicht gefunden,Not found,Non trouvé,Non trovato
global,error.userexists,Benutzername bereits vergeben!,Login name already used!,Login déjà utilisé !,Il nome utente è già in uso!
global,footer.link.legal.text,Rechtliche Grundlagen,Rechtliche Grundlagen,Rechtliche Grundlagen,Rechtliche Grundlagen
global,footer.link.seco.text,Staatssekretariat für Wirtschaft SECO,Staatssekretariat für Wirtschaft SECO,Staatssekretariat für Wirtschaft SECO,Staatssekretariat für Wirtschaft SECO
global,global.browsehappy,"Sie benutzen einen <strong>veralteten</strong> Browser. Bitte <a href=""http://browsehappy.com/?locale=de/"">aktualisieren Sie Ihren Browser</a>, um die Benutzerfreundlichkeit zu erhöhen.","You are using an <strong>outdated</strong> browser. Please <a href=""http://browsehappy.com/?locale=en"">upgrade your browser</a> to improve your experience.","Vous utilisez un <strong>ancien</strong> navigateur. Veuillez <a href=""http://browsehappy.com/?locale=fr"">mettre à jour votre navigateur</a> pour une meilleure expérience.","Stai utilizzando un browser <strong> non aggiornato </ strong> <a href=""http://browsehappy.com/?locale=it""> Aggiorna il tuo browser per </a> migliorare la tua esperienza."
global,global.field.id,ID,ID,ID,ID
global,global.form.confirmpassword,Neues Passwort bestätigen,New password confirmation,Confirmation du nouveau mot de passe,Conferma nuova password
global,global.form.confirmpassword.placeholder,Bestätigen Sie Ihr neues Passwort,Confirm the new password,Confirmation du nouveau mot de passe,Conferma nuova password
global,global.form.email,Email Adresse,Email,Email,Email
global,global.form.email.placeholder,Ihre Email Adresse,Your email,Votre email,Il tuo indirizzo email
global,global.form.newpassword,Neues Passwort,New password,Nouveau mot de passe,Nuova password
global,global.form.newpassword.placeholder,Neues Passwort,New password,Nouveau mot de passe,Nuova password
global,global.form.username,Benutzername,Username,Nom d'utilisateur,Utente
global,global.form.username.placeholder,Ihr Benutzername,Your username,Votre nom d'utilisateur,Il tuo nome utente
global,global.item-count,Ergebnis {{first}} - {{second}} von {{total}} Elemente.,Showing {{first}} - {{second}} of {{total}} items.,Affichage {{first}} - {{second}} de {{total}} items.,Mostra {{first}} - {{second}} di {{total}} articoli.
global,global.menu.account.login,Anmelden,Sign in,S'authentifier,Accesso
global,global.menu.account.logout,Abmelden,Sign out,Déconnexion,Esci
global,global.menu.account.main,Zugang,Account,Compte,Utente
global,global.menu.account.password,Passwort,Password,Mot de passe,Password
global,global.menu.account.register,Registrierung,Register,Créer un compte,Registrazione
global,global.menu.account.sessions,Sitzungen,Sessions,Sessions,Sessioni
global,global.menu.account.settings,Einstellungen,Settings,Profil,Impostazioni
global,global.menu.admin.apidocs,API,API,API,API
global,global.menu.admin.audits,Audits,Audits,Audits,Cambiamenti
global,global.menu.admin.configuration,Konfiguration,Configuration,Configuration,Configurazione
global,global.menu.admin.database,Datenbank,Database,Base de données,Database
global,global.menu.admin.elasticsearch-reindex,Reindex Elasticsearch,Reindex Elasticsearch,Reindex Elasticsearch,Reindex Elasticsearch
global,global.menu.admin.gateway,Gateway,Gateway,Gateway,Gateway
global,global.menu.admin.health,Status,Health,Diagnostics,Integrità
global,global.menu.admin.jhipster-needle-menu-add-admin-element,JHipster will add additional menu entries here (do not translate!),JHipster will add additional menu entries here (do not translate!),JHipster will add additional menu entries here (do not translate!),JHipster will add additional menu entries here (do not translate!)
global,global.menu.admin.logs,Protokoll,Logs,Logs,Log
global,global.menu.admin.main,Administration,Administration,Administration,Amministratore
global,global.menu.admin.metrics,Metriken,Metrics,Métriques,Metriche
global,global.menu.admin.tracker,Benutzer Aktivitäten,User tracker,Suivi des utilisateurs,Tracciamento utente
global,global.menu.admin.userManagement,Benutzerverwaltung,User management,Gestion des utilisateurs,Gestione utenti
global,global.menu.entities.jhipster-needle-menu-add-entry,JHipster will add additional entities here (do not translate!),JHipster will add additional entities here (do not translate!),JHipster will add additional entities here (do not translate!),JHipster will add additional entities here (do not translate!)
global,global.menu.entities.job,Job,Job,Job,Job
global,global.menu.entities.main,Entitäten,Entities,Entités,Entità
global,global.menu.home,Startseite,Home,Accueil,Home
global,global.menu.jhipster-needle-menu-add-element,JHipster will add additional menu entries here (do not translate!),JHipster will add additional menu entries here (do not translate!),JHipster will add additional menu entries here (do not translate!),JHipster will add additional menu entries here (do not translate!)
global,global.menu.language,Sprache,Language,Langue,Lingua
global,global.messages.error.dontmatch,Das bestätigte Passwort entspricht nicht dem neuen Passwort!,The password and its confirmation do not match!,Le nouveau mot de passe et sa confirmation ne sont pas égaux !,La password e la sua conferma non corrispondono!
global,global.messages.info.authenticated.link,anmelden,sign in,connecter,accedere
global,global.messages.info.authenticated.prefix,"Wenn Sie sich ","If you want to ","Si vous voulez vous ",Se vuoi
global,global.messages.info.authenticated.suffix," möchten, versuchen Sie es mit <br/>- Administrator (Name=""admin"" und Passwort=""admin"")<br/>- Benutzer (Name=""user"" und Passwort=""user"").",", you can try the default accounts:<br/>- Administrator (login=""admin"" and password=""admin"") <br/>- User (login=""user"" and password=""user"").",", vous pouvez utiliser les comptes par défaut : <br/> - Administrateur (nom d'utilisateur=""admin"" et mot de passe =""admin"") <br/> - Utilisateur (nom d'utilisateur=""user"" et mot de passe =""user"").",", puoi provare gli account di default: <br/> - Amministratore (user = ""admin"" e la password = ""admin"") <br/> - utente (user = ""user"" e la password = ""user"")"
global,global.messages.info.register.link,Registrieren Sie sich,Register a new account,Créer un compte,Crea un account
global,global.messages.info.register.noaccount,Sie haben noch keinen Zugang?,You don't have an account yet?,Vous n'avez pas encore de compte ?,Non hai ancora un account?
global,global.messages.validate.confirmpassword.maxlength,Das bestätigte Passwort darf nicht länger als 50 Zeichen sein,Your confirmation password cannot be longer than 50 characters.,Votre confirmation du mot de passe ne doit pas comporter plus de 50 caractères.,La tua password non può contenere più di 50 caratteri
global,global.messages.validate.confirmpassword.minlength,Das bestätigte Passwort muss mindestens 5 Zeichen lang sein,Your confirmation password is required to be at least 4 characters.,Votre confirmation du mot de passe doit comporter au moins 5 caractères.,La tua password deve essere di almeno 4 caratteri
global,global.messages.validate.confirmpassword.required,Sie müssen das Passwort bestätigen.,Your confirmation password is required.,Votre confirmation du mot de passe est requise.,La password di conferma è obbligatoria.
global,global.messages.validate.email.invalid,Ihre Email Adresse ist ungültig.,Your email is invalid.,Votre email n'est pas valide.,L'indirizzo email non è valido.
global,global.messages.validate.email.maxlength,Ihre Email Adresse darf nicht länger als 50 Zeichen sein,Your email cannot be longer than 50 characters.,Votre email ne doit pas comporter plus de 50 caractères.,L'indirizzo email non può contenere più di 50 caratteri
global,global.messages.validate.email.minlength,Ihre Email Adresse muss mindestens 5 Zeichen lang sein,Your email is required to be at least 5 characters.,Votre email doit comporter au moins 5 caractères.,L'indirizzo email deve essere di almeno 5 caratteri
global,global.messages.validate.email.required,Ihre Email Adresse wird benötigt.,Your email is required.,Votre email est requis.,L'indirizzo email è obbligatorio.
global,global.messages.validate.newpassword.maxlength,Das neue Passwort darf nicht länger als 50 Zeichen sein,Your password cannot be longer than 50 characters.,Votre mot de passe ne doit pas comporter plus de 50 caractères.,La password non può contenere più di 50 caratteri
global,global.messages.validate.newpassword.minlength,Das neue Passwort muss mindestens 5 Zeichen lang sein,Your password is required to be at least 4 characters.,Votre mot de passe doit comporter au moins 5 caractères.,La password deve essere di almeno 4 caratteri
global,global.messages.validate.newpassword.required,Ein neues Passwort wird benötigt.,Your password is required.,Votre mot de passe est requis.,La password è obbligatoria.
global,global.messages.validate.newpassword.strength,Passwortstärke:,Password strength:,Robustesse du mot de passe :,Robustezza della password:
global,global.reference.greaterRegion.1,"Grossregion 1 (GE, VD, FR, NE, VS, JU)","grande région 1 (GE, VD, FR, NE, VS, JU)","grande regione 1 (GE, VD, FR, NE, VS, JU)","Grossregion 1 (GE, VD, FR, NE, VS, JU)"
global,global.reference.greaterRegion.2,"Grossregion 2 (BE, SO, BS, BL, AG)","grande région 2 (BE, SO, BS, BL, AG)","grande regione 2 (BE, SO, BS, BL, AG)","Grossregion 2 (BE, SO, BS, BL, AG)"
global,global.reference.greaterRegion.3,"Grossregion 3 (UR, SZ, OW, NW, LU, ZG)","grande région 3 (UR, SZ, OW, NW, LU, ZG)","grande regione 3 (UR, SZ, OW, NW, LU, ZG)","Grossregion 3 (UR, SZ, OW, NW, LU, ZG)"
global,global.reference.greaterRegion.4,"Grossregion 4 (ZH, SH, TG, SG, AI, AR, GL, GR)","grande région 4 (ZH, SH, TG, SG, AI, AR, GL, GR)","grande regione 4 (ZH, SH, TG, SG, AI, AR, GL, GR)","Grossregion 4 (ZH, SH, TG, SG, AI, AR, GL, GR)"
global,global.reference.greaterRegion.5,Grossregion 5 (TI),grande région 5 (TI),grande regione 5 (TI),Grossregion 5 (TI)
global,global.reference.greaterRegion.6,"Grossregion 6 (AG, GL, SG, SH, SZ, TG, ZG, ZH)","Grande région 6 (AG, GL, SG, SH, SZ, TG, ZG, ZH)","Grande regione 6 (AG, GL, SG, SH, SZ, TG, ZG, ZH)","Grossregion 6 (AG, GL, SG, SH, SZ, TG, ZG, ZH)"
global,global.reference.greaterRegion.99,Ausland,étranger,estero,Ausland
global,global.reference.greaterRegion.AG,Aargau,Argovie,Argovia,Aargau
global,global.reference.greaterRegion.AI,Appenzell Innerrhoden,Appenzell Rhodes-Intérieures,Appenzello Interno,Appenzell Innerrhoden
global,global.reference.greaterRegion.AR,Appenzell Ausserrhoden,Appenzell Rhodes-Extérieures,Appenzello Esterno,Appenzell Ausserrhoden
global,global.reference.greaterRegion.BE,Bern,Berne,Berna,Bern
global,global.reference.greaterRegion.BL,Basel-Landschaft,Bâle-Campagne,Basilea-Campagna,Basel-Landschaft
global,global.reference.greaterRegion.BS,Basel-Stadt,Bâle-Ville,Basilea-Città,Basel-Stadt
global,global.reference.greaterRegion.CH,Schweiz,Suisse,Svizzera,Schweiz
global,global.reference.greaterRegion.FL,Fürstentum Liechtenstein,Fürstentum Liechtenstein,Fürstentum Liechtenstein,Fürstentum Liechtenstein
global,global.reference.greaterRegion.FR,Freiburg,Fribourg,Friburgo,Freiburg
global,global.reference.greaterRegion.GE,Genf,Genève,Ginevra,Genf
global,global.reference.greaterRegion.GL,Glarus,Glaris,Glarona,Glarus
global,global.reference.greaterRegion.GR,Graubünden,Grisons,Grigioni,Graubünden
global,global.reference.greaterRegion.JU,Jura,Jura,Giura,Jura
global,global.reference.greaterRegion.LU,Luzern,Lucerne,Lucerna,Luzern
global,global.reference.greaterRegion.NE,Neuenburg,Neuchâtel,Neuchâtel,Neuenburg
global,global.reference.greaterRegion.NW,Nidwalden,Nidwald,Nidwaldo,Nidwalden
